"","H2O_30m_A","H2O_30m_B","H2O_30m_C","PNA79_30m_A","PNA79_30m_B","PNA79_30m_C","PNAscr_30m_A","PNAscr_30m_B","PNAscr_30m_C","H2O_16h_A","H2O_16h_B","H2O_16h_C","PNA79_16h_A","PNA79_16h_B","PNA79_16h_C","PNAscr_16h_A","PNAscr_16h_B","PNAscr_16h_C"
"cds-C4N14_00010",112.323720251553,72.2119040762904,78.2857642622678,140.068300336167,87.4610970500939,117.003616966164,121.435879152578,114.75879919997,105.985285748228,144.261402264234,124.862738117453,125.176463861156,81.2318452521336,79.9703273713878,72.2711160572265,103.613413212454,92.6925682192462,107.046854899642
"cds-C4N14_00015",127.33728681983,119.688238800481,118.896504473319,81.3299808403551,131.191645575141,106.420375230531,109.367717249216,132.264378738949,100.126802616416,56.9921589192035,48.3423023353285,56.2098133898822,63.7249820512428,57.7984593560979,56.2108680445095,76.7506764536698,78.9727296019571,82.9188336365481
"cds-C4N14_00020",999.792321843033,1544.37724132221,1542.71884199331,1460.71227493431,1464.97337558907,1555.73653513804,1429.70005548889,1528.17225827305,1926.37577161478,243.552429131284,257.222410821668,259.920555533356,425.300063360309,400.041140002369,351.472350739845,578.072140380595,522.357758087521,624.609902557277
"cds-C4N14_00025",4794.33225746976,4952.69932156392,4570.91006086316,3967.74120814018,4740.53252640065,3570.66817002771,3916.49566770038,4166.32793027689,3280.21796443887,2796.62304821498,2312.4165475375,2232.64581482294,5138.61448672549,5295.09688960028,4859.15157661686,2901.52443665987,2677.71094184263,2595.97118913767
"cds-C4N14_00030",446.514590900976,411.328580677654,382.621672831834,327.901827515082,388.990282444571,334.548030420841,328.103151747649,431.155940497064,370.682205430988,50.3133902958593,64.1117164661041,58.6017203426431,158.262043336053,238.394956950725,224.534621254716,126.289749437402,109.089448517958,166.517329843888
"cds-C4N14_00035",21.6862628208444,23.1397261680931,18.5928690122886,14.2004728451414,16.9279542677601,10.5832417356329,24.5134538662037,26.5825467073378,14.3799131417194,10.0181529350162,9.56505447276553,9.96627896983727,14.2389154033912,29.1834843961937,32.738197872077,19.5365358245705,17.7354011394226,23.7881899776982
"cds-C4N14_00040",20.0180887577026,10.7719414920433,18.5928690122886,20.6552332292965,9.87463998952673,13.5230311066421,15.8394624981624,14.9121603480188,11.7169662636232,5.7882661402316,11.8916893445193,13.3548138195819,7.00274528035635,15.9182642161056,5.86816754310813,10.1171346234383,15.0583594580003,17.6712268405758
"cds-C4N14_00045",16.1256826103715,21.144922188085,16.1464388790927,40.6649904201775,26.0972628294635,76.4345236462379,29.0390145799643,37.6045782689169,26.6294687809618,14.2480397298009,20.4226838742832,22.3244648924355,15.8728893021411,23.6878931787286,19.1487572459318,20.5831359580296,21.750963661556,22.7686961215112
"cds-C4N14_00050",35.5877133470268,47.0773739281893,44.0357423975256,37.4376102281,49.3731999476336,41.7450090683299,33.9417053532051,35.659513875697,52.1937588106851,77.4737160307922,97.4601496279082,93.2843711576768,78.8975968253482,88.1189626248705,91.7287242264798,84.7746108101898,82.9882921240905,86.9968090612964
"cds-C4N14_00055",41.704351578547,39.8960796001605,29.3571615983504,41.9559424970086,28.2132571129335,35.8654303263116,30.1704047584045,25.2858371118579,28.7598262834387,88.6049970696992,71.3501360671158,78.9329294411112,105.508028890702,94.3725664240549,106.553568545911,89.3098780551794,82.3190317037349,79.8603520679869
"cds-C4N14_00060",57.8300341889185,102.532924572412,122.321506659793,94.8849776470809,83.2291084831538,100.540796488513,80.328702669252,93.3630908745522,94.2683194846047,250.00857213385,222.581402731111,212.680393216327,228.989770667653,195.756749229013,191.487572459318,176.177689132287,184.381245807959,161.419860562952
"cds-C4N14_00065",38.3680034522632,36.7043932321476,34.2500218647422,38.728562304931,38.0878971024602,24.6942307164768,27.5304943420441,35.0111590779571,25.0317006541041,115.765322804632,110.385898915429,110.027719827003,133.052160326771,117.870956457354,113.965990705626,81.6348104098124,86.6692244360461,66.6069319375551
"cds-C4N14_00070",303.051621470775,378.214834609521,323.418063608494,242.053514405819,297.297196827537,219.308287077283,246.643058899957,303.430045342295,215.166107750171,325.25603195686,291.346388940723,301.579601627276,342.434244209425,392.840020476036,360.73787843949,238.624830428682,255.992110786005,274.583678599717
"cds-C4N14_00075",30.0271331365538,23.1397261680931,27.8893035184329,21.300709267712,23.6286028320818,24.106272842275,27.153364282564,16.8572247412386,12.7821450148617,20.0363058700325,26.6270435322932,21.5271625748485,20.0745364703549,15.539257925246,13.2805897028237,26.5138700476314,20.7470730310226,17.6712268405758
"cds-C4N14_00085",175.158276629897,108.118375716435,132.107227192577,343.393252437055,141.771616992491,278.104074497465,218.735434498433,208.121890074523,202.38396273531,24.9340695271515,36.4506129908092,22.9224416306257,26.3770072226756,17.4342893795443,21.3107137091822,66.2846751190784,55.88324509969,63.8882816543895
"cds-C4N14_00090",24.4665529260809,19.9480398000802,17.6142969590103,30.9828498439448,30.6819171103152,38.2172618231189,30.5475348178846,35.0111590779571,31.4227731615349,23.5983158024827,14.9938691735243,16.7433486693266,17.0400135155338,18.1923019612636,22.2372664791466,24.0718030695601,16.7315105088892,21.4093709799284
"cds-C4N14_00095",7.22875427361481,6.78233353202728,3.91428821311339,6.45476038415517,7.05331427823338,4.70366299361464,8.29686130856124,2.59341919095978,3.19553625371541,1.55837934544697,1.2925749287521,1.19595347638047,3.50137264017817,3.41105661773692,2.16195646325037,3.48866711153044,3.34630210177784,2.03898771237413
"cds-C4N14_00100",228.539846650437,156.392632032629,219.689425960989,444.087514429875,226.764054045203,337.48781979185,382.787010372257,350.759945577311,349.378630406219,41.4083654647338,67.4724112808595,58.6017203426431,73.7622502864202,114.649402985047,113.348288858983,118.614681792035,137.533016383069,137.631670585254
"cds-C4N14_00105",49.4891638732091,57.0513938282295,54.3107489569483,34.2102300360224,51.8418599450153,57.6198716717793,46.0098672565669,72.615737346874,50.0634013082081,81.0357259632424,48.6008173210789,48.6354413728059,66.9929298487424,61.5885222646944,59.6082282010458,42.5617387606714,47.5174898452454,55.0526682341016
"cds-C4N14_00110",231.876194776721,189.905338896764,200.117984895422,170.405674141696,183.386171234068,181.091025254164,204.40449223819,191.913020131024,205.046909613406,603.092806687977,599.496251955223,566.881947804344,346.402466534961,353.991875662921,340.662568423593,313.631173326587,311.875355885695,285.458279732379
"cds-C4N14_00115",10.0090443788513,15.9584318400642,10.2750065594226,19.3642811524655,13.4012971286434,8.23141023882562,6.78834107064101,15.5605151457587,3.19553625371541,69.6818193035574,57.1318118508428,58.4023947632464,29.8783798628537,25.9619309238866,32.738197872077,23.374069647254,25.7665261836894,12.5737575596405
"cds-C4N14_00120",61.7224403362495,36.305432436146,51.8643188237524,94.8849776470809,51.136528517192,78.7863551430452,75.8031419554913,66.7805441672144,82.0187638453623,152.275924612247,104.69856922892,109.429743088813,65.5923807926711,64.9995788824314,70.4180105172976,63.4937414298541,58.2256565709345,67.2865945083464
"cds-C4N14_00125",234.10042686091,199.081437204801,222.135856094185,175.569482449021,229.585379756496,189.910393367191,174.611217539266,171.165666603346,181.08038771054,448.590625867949,379.241484095866,374.532763686485,752.094843110272,608.305096829751,560.564425828488,428.408321295939,403.22940326423,342.88976696425
"cds-C4N14_00130",108.987372125269,86.5744927323482,106.66435380734,269.16350801927,134.365637000346,233.419276058126,196.107630929629,183.484407760405,217.829054628267,34.9522224621678,43.1720026203201,43.851627467284,62.7912826805286,48.7023083754661,45.7099366515791,78.146143298282,67.5953024559124,72.7238950746775
